,chars,lines,line_num,mod_line,scene_setup
164,Mushu,"Get ready, Mulan, your seventeen halation is at hand, for I have been sent by your ancestors to guide you through your masquerade! [He glances down at Crickee, who is making finger-shadows of a dragon's head, and kicks him.] C'mon, you're gonna stay, you're gonna work with me. [To Mulan] So heed my words, cause if the army finds out you're a girl, the penalty is death.
",445,"Get ready, Mulan, your seventeen halation is at hand, for I have been sent by your ancestors to guide you through your masquerade!  C'mon, you're gonna stay, you're gonna work with me.  So heed my words, cause if the army finds out you're a girl, the penalty is death.","He glances down at Crickee, who is making finger-shadows of a dragon's head, and kicks him.To Mulan"
165,Mulan,"Who are you?
",447,Who are you?,
166,Mushu,"Who am I? WHO am I? I am the guardian of lost souls! I am the powerful, the pleasurable, the indestructible Mushu.
Mulan stares at the tiny dragon for a moment.
",449,"Who am I? WHO am I? I am the guardian of lost souls! I am the powerful, the pleasurable, the indestructible Mushu. Mulan stares at the tiny dragon for a moment.",
167,Mushu,"Ah, I'm pretty hot, huh? [Immediately Khan steps all over him.]
",452,"Ah, I'm pretty hot, huh?",Immediately Khan steps all over him.
168,Mulan,"My ancestors sent a little lizard to help me?
",454,My ancestors sent a little lizard to help me?,
169,Mushu,"Hey, dragon, dragon, not lizard. I don't do that tongue-thing.
",456,"Hey, dragon, dragon, not lizard. I don't do that tongue-thing.",
170,Mulan,"You're ... um ...
",458,You're ... um ...,
171,Mushu,"Intimidating? All inspiring?
",460,Intimidating? All inspiring?,
172,Mulan,"Tiny!
",462,Tiny!,
173,Mushu,"Of course! I am travel-sized, for your convenience. If I was my REAL size, your cow here would die of fright. [Khan tries to chomp him.] DOWN, Bessy. My powers are beyond your mortal imagination. For instance, my eyes can see straight through your armor. Alright! That's it! Dishonor! Dishonor on your whole family! Make a note of this. Dishonor on you, dishonor on your cow, dis-
",464,"Of course! I am travel-sized, for your convenience. If I was my REAL size, your cow here would die of fright.  DOWN, Bessy. My powers are beyond your mortal imagination. For instance, my eyes can see straight through your armor. Alright! That's it! Dishonor! Dishonor on your whole family! Make a note of this. Dishonor on you, dishonor on your cow, dis-",Khan tries to chomp him.
174,Mulan,"Stop! I'm sorry! I'm sorry. I'm just nervous. I've never done this before.
",466,Stop! I'm sorry! I'm sorry. I'm just nervous. I've never done this before.,
175,Mushu,"Then you're gonna have to trust me. And don't you slap me no more. You clear on that? [Mulan nods]. Alright. Okey-dokey! Let's get this show on the road! Crickee, get the bags! [To Khan] Let's move it heifer!
At the Moo-Shung Camp
",468,"Then you're gonna have to trust me. And don't you slap me no more. You clear on that? . Alright. Okey-dokey! Let's get this show on the road! Crickee, get the bags!  Let's move it heifer! At the Moo-Shung Camp",Mulan nodsTo Khan
176,Mushu,"Okay, this is it! Time to show them your man-walk. Shoulders back, chest high, feet apart, head up, and strut! Two three, break that bone, two, three, and work it!
",471,"Okay, this is it! Time to show them your man-walk. Shoulders back, chest high, feet apart, head up, and strut! Two three, break that bone, two, three, and work it!",
177,Mushu,"[They pass men trimming their toenails and picking their noses] Beautiful, isn't it.
",473,"Beautiful, isn't it.",They pass men trimming their toenails and picking their noses
178,Mulan,"They're disgusting.
",475,They're disgusting.,
179,Mushu,"No, they're men. And you're gonna have to act just like them, so pay attention.
",477,"No, they're men. And you're gonna have to act just like them, so pay attention.",
180,Recruit,"Look! This tattoo will protect me from harm!
",479,Look! This tattoo will protect me from harm!,
181,Yow,"Hmmm ... [punches the recruit]
",481,Hmmm ...,punches the recruit
182,Ling,"[laughing] I hope you can get your money back!
",483,I hope you can get your money back!,laughing
183,Mulan,"I don't think I can do this ...
",485,I don't think I can do this ...,
184,Mushu,"It's all attitude! Be tough, like this guy here!
",487,"It's all attitude! Be tough, like this guy here!",
185,Yow,"[spits] What are you looking at?
",489,What are you looking at?,spits
186,Mushu,"Punch him. It's how men say hello. [Mulan punches Yow; he slams into Chien Po.]
",491,Punch him. It's how men say hello.,Mulan punches Yow; he slams into Chien Po.
187,Chien Po,"Oh, Yow! You've made a friend!
",493,"Oh, Yow! You've made a friend!",
188,Mushu,"Good. Now slap him on the behind. They like that. (Mulan slaps Yow.)
",495,Good. Now slap him on the behind. They like that. (Mulan slaps Yow.),
189,Yao,"Woo hoo ... I'm gonna hit you so hard, it'll make your ancestors dizzy.
",497,"Woo hoo ... I'm gonna hit you so hard, it'll make your ancestors dizzy.",
190,Chien Po,"[picks up Yow] Yow, relax and chant with me.
",499,"Yow, relax and chant with me.",picks up Yow
191,Yao,"errrrrgh ....
",501,errrrrgh ....,
192,Chien Po,"nanuami tofu dah ...
",503,nanuami tofu dah ...,
193,Yao,"nonuamitofudah.
",505,nonuamitofudah.,
194,Chien Po,"Feel better?
",507,Feel better?,
195,Yao,"nrrgh. Ah, you ain't worth my time. Chicken boy.
",509,"nrrgh. Ah, you ain't worth my time. Chicken boy.",
196,Mushu,"Chicken boy!? Say that to my face, you limp noodle!
",511,"Chicken boy!? Say that to my face, you limp noodle!",
197,Yao,"Rrraaaaghhh! [Grabs Mulan and punches; she ducks and he punches Ling three times.] Oh, sorry Ling. Hey! [reaches down to catch Mulan from crawling away, and Ling kicks him into Chien Po, then attacks with a flying side kick. They start fighting, with Chien Po swiping to get them off. Mulan scrambles away.]
",513,"Rrraaaaghhh!  Oh, sorry Ling. Hey!","Grabs Mulan and punches; she ducks and he punches Ling three times.reaches down to catch Mulan from crawling away, and Ling kicks him into Chien Po, then attacks with a flying side kick. They start fighting, with Chien Po swiping to get them off. Mulan scrambles away."
198,Ling,"Hey! There he goes! [They chase Mulan through a tent, and the Gang of Three stop abruptly at the end of the food line. Chien Po knocks everyone over, like dominoes, and finally the pot overturns. Everyone gets up and advances on Mulan.]
",515,Hey! There he goes!,"They chase Mulan through a tent, and the Gang of Three stop abruptly at the end of the food line. Chien Po knocks everyone over, like dominoes, and finally the pot overturns. Everyone gets up and advances on Mulan."
199,Mulan,"Hey, guys ...
Inside the Captain's Tent
",517,"Hey, guys ... Inside the Captain's Tent",
200,General,"The Huns have struck here, here, and here. I will take the main troops up to the Tung Chow Pass and stop Shan Yu before he destroys this village.
",520,"The Huns have struck here, here, and here. I will take the main troops up to the Tung Chow Pass and stop Shan Yu before he destroys this village.",
201,Chi Fu,"Excellent strategy, sir! I do love surprises.
",522,"Excellent strategy, sir! I do love surprises.",
202,General,"[to Lee Shang] You will stay and train the new recruits. When Chi Fu believes you're ready, you will join us ... Captain.
",524,"You will stay and train the new recruits. When Chi Fu believes you're ready, you will join us ... Captain.",to Lee Shang
203,Shang,"Captain?
",526,Captain?,
204,Chi Fu,"Oh! This is an enormous responsibility, General! Perhaps a soldier with more experience?
",528,"Oh! This is an enormous responsibility, General! Perhaps a soldier with more experience?",
205,General,"Number one in his class, extensive knowledge of training techniques ... an impressive military linuage ... I believe Lee Shang will do an excellent job.
",530,"Number one in his class, extensive knowledge of training techniques ... an impressive military linuage ... I believe Lee Shang will do an excellent job.",
206,Shang,"Oh I will! I won't let you down! This is... I mean... Yes sir.
",532,Oh I will! I won't let you down! This is... I mean... Yes sir.,
207,General,"Very good, then. We'll toast China's victory at the Imperial City. I'll expect a full report in three weeks.
",534,"Very good, then. We'll toast China's victory at the Imperial City. I'll expect a full report in three weeks.",
208,Chi Fu,"And believe me, I won't leave anything out.
",536,"And believe me, I won't leave anything out.",
209,Shang,"Captain Lee Shang. Leader of China's finest troops. No, the greatest troops of all time. [They step outside]
",538,"Captain Lee Shang. Leader of China's finest troops. No, the greatest troops of all time.",They step outside
210,Chi Fu,"Most impressive.
",540,Most impressive.,
211,General,"Good luck, Captain! Yah! [He rides off, followed by two lines of soldiers on horses.]
",542,"Good luck, Captain! Yah!","He rides off, followed by two lines of soldiers on horses."
212,Shang,"Good luck ... Father.
",544,Good luck ... Father.,
213,Chi Fu,"Day one.
",546,Day one.,
214,Shang,"Soldiers!
Soldiers separate, revealing a cowering Mulan
",548,"Soldiers! Soldiers separate, revealing a cowering Mulan",
215,Soldiers,"HE started it!
",551,HE started it!,
216,Shang,"[to Mulan] I don't need anyone causing trouble in my camp.
",553,I don't need anyone causing trouble in my camp.,to Mulan
217,Mulan,"Sorry ... [in a deep voice] I mean, sorry you had to say that. But you know what it is when you get those manly urges ... just gotta KILL something. Fix things ... a cook outdoors ...
",555,"Sorry ...  I mean, sorry you had to say that. But you know what it is when you get those manly urges ... just gotta KILL something. Fix things ... a cook outdoors ...",in a deep voice
218,Shang,"What's your name?
",557,What's your name?,
219,Mulan,"uh...um...uh...
",559,uh...um...uh...,
220,Chi Fu,"Your commanding officer just asked you a question!
",561,Your commanding officer just asked you a question!,
221,Mulan,"I've got a name ... and it's a boy's name, too.
",563,"I've got a name ... and it's a boy's name, too.",
222,Mushu,"Ling! How 'bout Ling?
",565,Ling! How 'bout Ling?,
223,Mulan,"(to Mushu) HIS name is Ling.
",567,(to Mushu) HIS name is Ling.,
224,Shang,"I didn't ask for HIS name, I asked for yours!
",569,"I didn't ask for HIS name, I asked for yours!",
225,Mushu,"Uh ... Ah-chu!
",571,Uh ... Ah-chu!,
226,Mulan,"Ah-chu!
",573,Ah-chu!,
227,Shang,"AH-CHU?!
",575,AH-CHU?!,
228,Mushu,"Gesuintit! Hee hee ... I kill myself.
",577,Gesuintit! Hee hee ... I kill myself.,
229,Mulan,"Mushu ...
",579,Mushu ...,
230,Shang,"MUSHU?
",581,MUSHU?,
231,Mulan,"No.
",583,No.,
232,Shang,"Then WHAT is it?!
",585,Then WHAT is it?!,
233,Mushu,"Ping! Ping was my best friend growing up.
",587,Ping! Ping was my best friend growing up.,
234,Mulan,"It's Ping.
",589,It's Ping.,
235,Shang,"Ping.
",591,Ping.,
236,Mushu,"'Course, Ping did steal my girl--
",593,"'Course, Ping did steal my girl--",
237,Mulan,"Yes. My name is Ping.
",595,Yes. My name is Ping.,
238,Shang,"Let me see your conscription notice. [Mulan hands the scroll to him.] Fa Zhou? THE Fa Zhou?
",597,Let me see your conscription notice.  Fa Zhou? THE Fa Zhou?,Mulan hands the scroll to him.
239,Chi Fu,"I didn't know Fa Zhou had a son.
",599,I didn't know Fa Zhou had a son.,
240,Mulan,"Er, he ... doesn't talk about me much. [She attempts to spit, but fails miserably.]
",601,"Er, he ... doesn't talk about me much.","She attempts to spit, but fails miserably."
241,Chi Fu,"I can see why. The boy's an absolute lunatic! (Laughter)
",603,I can see why. The boy's an absolute lunatic! (Laughter),
242,Shang,"Okay, gentlemen, thanks to your new friend Ping, you'll spend tonight picking up every single grain of rice. Tomorrow, the real work begins.
Grumbling
",605,"Okay, gentlemen, thanks to your new friend Ping, you'll spend tonight picking up every single grain of rice. Tomorrow, the real work begins. Grumbling",
243,Mushu,"You know, we have to work on your people skills.
Inside Mulan's tent
Mushu picks up Crickee and uses him for an alarm clock.
",608,"You know, we have to work on your people skills. Inside Mulan's tent Mushu picks up Crickee and uses him for an alarm clock.",
244,Mushu,"All right, rise and shine, Sleeping Beauty! C'mon, hup, hup, hup!
Mulan pulls the blanket over her, and Mushu pulls it off.
",612,"All right, rise and shine, Sleeping Beauty! C'mon, hup, hup, hup! Mulan pulls the blanket over her, and Mushu pulls it off.",
245,Mushu,"Get your clothes on, get ready! Got breakfast ready. Look, you get porridge! And it's happy to see you!
Crickee is resting happily in the bowl of porridge, Mushu uses chopsticks to fish him out.
",615,"Get your clothes on, get ready! Got breakfast ready. Look, you get porridge! And it's happy to see you! Crickee is resting happily in the bowl of porridge, Mushu uses chopsticks to fish him out.",
246,Mushu,"Hey, get out of there! You're gonna make people sick!
",618,"Hey, get out of there! You're gonna make people sick!",
247,Mulan,"Am I late?
",620,Am I late?,
248,Mushu,"[stuffs porridge in her mouth] No time to talk. Now, remember, it's your first day of training, so listen to your teacher and no fighting, play nice with the other kids, unless, of course, the other kids want to fight, then you gotta kick the other kid's butt.
",622,"No time to talk. Now, remember, it's your first day of training, so listen to your teacher and no fighting, play nice with the other kids, unless, of course, the other kids want to fight, then you gotta kick the other kid's butt.",stuffs porridge in her mouth
249,Mulan,"But I don't want to kick the other kids' butts.
",624,But I don't want to kick the other kids' butts.,
250,Mushu,"Don't talk with your mouth full. Now let's see your war face.
Mulan looks at Mushu, her mouth full of porridge.
",626,"Don't talk with your mouth full. Now let's see your war face. Mulan looks at Mushu, her mouth full of porridge.",
251,Mushu,"Oh, I think my bunny slippers just ran for cover. C'mon, scare me, girl!
",629,"Oh, I think my bunny slippers just ran for cover. C'mon, scare me, girl!",
252,Mulan,"Rrrrraaaaarrrgggghhhhh!
",631,Rrrrraaaaarrrgggghhhhh!,
253,Mushu,"That's my tough looking warrior! That's what I'm talking about! Now, get out there and make me proud!
Khan neighs frantically
",633,"That's my tough looking warrior! That's what I'm talking about! Now, get out there and make me proud! Khan neighs frantically",
254,Mushu,"What do you mean, the troops just left?
",636,"What do you mean, the troops just left?",
255,Mulan,"They WHAT? [She rushes out of the tent]
",638,They WHAT?,She rushes out of the tent
256,Mushu,"Wait, you forgot your sword! [sniffs] My little baby, off to destroy people ...
",640,"Wait, you forgot your sword!  My little baby, off to destroy people ...",sniffs
257,Chi Fu,"Order! People, order!
",642,"Order! People, order!",
258,Soldier,"I'd like a pan-fried noodle!
",644,I'd like a pan-fried noodle!,
259,Chien Po,"Sweet and pungent shrimp.
",646,Sweet and pungent shrimp.,
260,Chi Fu,"That's not funny.
",648,That's not funny.,
261,Ling,"Looks like our new friend slept in this morning. Why, hello, Ping, Are ya hungry?
",650,"Looks like our new friend slept in this morning. Why, hello, Ping, Are ya hungry?",
262,Yao,"Yeah, cause I owe you a knuckle sandwich.
",652,"Yeah, cause I owe you a knuckle sandwich.",
263,Shang,"Soldiers! You will assemble swiftly and silently, every morning. Anyone who does otherwise, will answer to me.
He takes off his shirt, and Mulan stares in awe.
",654,"Soldiers! You will assemble swiftly and silently, every morning. Anyone who does otherwise, will answer to me. He takes off his shirt, and Mulan stares in awe.",
264,Yao,"Ooh, tough guy.
",657,"Ooh, tough guy.",
265,Shang,"[pulls out a bow and arrow and aims it at Yow, then at the top of a high pole in the middle of the camp.] Yow. Thank you for volunteering. Retrieve the arrow.
",659,Yow. Thank you for volunteering. Retrieve the arrow.,"pulls out a bow and arrow and aims it at Yow, then at the top of a high pole in the middle of the camp."
266,Yao,"I'll get that arrow, pretty boy, and I'll do it with my shirt on. [He walks over to the pole and prepares to climb up it.]
",661,"I'll get that arrow, pretty boy, and I'll do it with my shirt on.",He walks over to the pole and prepares to climb up it.
267,Shang,"One moment, you seem to be missing something. [He pulls two giant medals out of a box.] This represents disipline. And this represents strength. You need both to reach the arrow. [He ties them around Yao's wrists, and all the soldiers after him, and none of them can make it to the arrow.]
",663,"One moment, you seem to be missing something.  This represents disipline. And this represents strength. You need both to reach the arrow.","He pulls two giant medals out of a box.He ties them around Yao's wrists, and all the soldiers after him, and none of them can make it to the arrow."
268,Shang,"We've got a long way to go.
Beginning of ""I'll Make a Man Out of You.""
",665,"We've got a long way to go. Beginning of ""I'll Make a Man Out of You.""",
269,Shang,"Let's get down to business
To defeat the Huns
Did they send me daughters
When I asked for sons
You're the saddest bunch
I ever met, but you can bet
Before we're through
Mister, I'll make a man
Out of you.
Tranquil as a forest
But on fire within
Once you find your center
You are sure to win
You're a spineless, pale, pathetic lot
And you can bet before we're through
Mister, I'll make a man out of you.

",668,"Let's get down to business To defeat the Huns Did they send me daughters When I asked for sons You're the saddest bunch I ever met, but you can bet Before we're through Mister, I'll make a man Out of you. Tranquil as a forest But on fire within Once you find your center You are sure to win You're a spineless, pale, pathetic lot And you can bet before we're through Mister, I'll make a man out of you.",
270,Chien Po,"I'm never gonna catch my breath
",686,I'm never gonna catch my breath,
271,Yao,"Say good-bye to those who knew me
",688,Say good-bye to those who knew me,
272,Ling,"Boy I was a fool in school for cutting gym
",690,Boy I was a fool in school for cutting gym,
273,Mushu,"This guy's got 'em scared to death
",692,This guy's got 'em scared to death,
274,Mulan,"I hope he doesn't see right through me
",694,I hope he doesn't see right through me,
275,Chien Po,"Now I really wish that I knew how to swim
(Be a man)
We must be swift as a coursing river
(Be a man)
With all the force of a great typhoon
(Be a man)
With all the strength of a raging fire
Mysterious as the dark side of the moon
Time is racing t'ward us
Till the Huns arrive
Heed my every order
And you might survive
You're unsuited for the rage of war
So pack up, go home, you're through
How could I make a man out of you
(Be a man)
We must be swift as a coursing river
(Be a man)
With all the force of a great typhoon
(Be a man)
With all the strength of a raging fire
Mysterious as the dark side of the moon
(Be a man)
We must be swift as a coursing river
(Be a man)
With all the force of a great typhoon
(Be a man)
With all the strength of a raging fire
Mysterious as the dark side of the moon!
Shan Yu cuts the top off a tree. The hawk flies overhead and drops a small doll. Shan Yu jumps down from the tree and throws the doll to one of the Huns.
",696,"Now I really wish that I knew how to swim (Be a man) We must be swift as a coursing river (Be a man) With all the force of a great typhoon (Be a man) With all the strength of a raging fire Mysterious as the dark side of the moon Time is racing t'ward us Till the Huns arrive Heed my every order And you might survive You're unsuited for the rage of war So pack up, go home, you're through How could I make a man out of you (Be a man) We must be swift as a coursing river (Be a man) With all the force of a great typhoon (Be a man) With all the strength of a raging fire Mysterious as the dark side of the moon (Be a man) We must be swift as a coursing river (Be a man) With all the force of a great typhoon (Be a man) With all the strength of a raging fire Mysterious as the dark side of the moon! Shan Yu cuts the top off a tree. The hawk flies overhead and drops a small doll. Shan Yu jumps down from the tree and throws the doll to one of the Huns.",
276,Shan Yu,"What do you see?
",727,What do you see?,
277,Hun #1,"Black pine ... from the high mountains!
",729,Black pine ... from the high mountains!,
278,Hun #2,"White horse hair ... Umperial stallions.
",731,White horse hair ... Umperial stallions.,
279,Hun #3,"Sulphur ... from cannons.
",733,Sulphur ... from cannons.,
280,Shan Yu,"This doll came from a village in the Tung Show Pass, where the Imperial Army is waiting.
",735,"This doll came from a village in the Tung Show Pass, where the Imperial Army is waiting.",
281,Hun Archer,"We can avoid them easily.
",737,We can avoid them easily.,
282,Shan Yu,"No. The quickest way to the emperor is through that pass. Besides, the little girl will be missing her doll. We should return it to her.
Moo Shung Camp, at night
",739,"No. The quickest way to the emperor is through that pass. Besides, the little girl will be missing her doll. We should return it to her. Moo Shung Camp, at night",
283,Mushu,"Hey, this is not a good idea. What if somebody sees you?
",742,"Hey, this is not a good idea. What if somebody sees you?",
284,Mulan,"Just because I look like a man doesn't mean I have to smell like one.
",744,Just because I look like a man doesn't mean I have to smell like one.,
285,Mushu,"so a couple guys don't rinse out their socks. Picky, picky, picky. Myself, I kinda like that corn-chip smell.
",746,"so a couple guys don't rinse out their socks. Picky, picky, picky. Myself, I kinda like that corn-chip smell.",
286,Mulan,"[Jumps in the water] Ah.
",748,Ah.,Jumps in the water
287,Mushu,"Okay, all right, alright, that's enough, now c'mon, get out before you get all pruney and stuff.
",750,"Okay, all right, alright, that's enough, now c'mon, get out before you get all pruney and stuff.",
288,Mulan,"Mushu, if you're so worried, go stand watch!
",752,"Mushu, if you're so worried, go stand watch!",
289,Mushu,"Yeah, yeah. Stand watch, Mushu, while I blow our secret with my stupid girly habits. Hygiene.
Three (naked) men flash by, laughing.
",754,"Yeah, yeah. Stand watch, Mushu, while I blow our secret with my stupid girly habits. Hygiene. Three (naked) men flash by, laughing.",
290,Mushu,"We're doomed! There're a couple of things I KNOW they're bound to notice!
Mulan ducks into the water as Ling, Yao and Chien-Po jump into the water. She tries to hide herself with a lilypad.
",757,"We're doomed! There're a couple of things I KNOW they're bound to notice! Mulan ducks into the water as Ling, Yao and Chien-Po jump into the water. She tries to hide herself with a lilypad.",
291,Yao,"Hey, Ping!
",760,"Hey, Ping!",
292,Mulan,"Oh, hi, guys, I didn't know you were HERE. I was just washing so now I'm clean and I'm gonna go. Bye-bye.
",762,"Oh, hi, guys, I didn't know you were HERE. I was just washing so now I'm clean and I'm gonna go. Bye-bye.",
293,Ling,"Come back here! I know we were jerks to you before, so let's start over. Hi, I'm Ling.
",764,"Come back here! I know we were jerks to you before, so let's start over. Hi, I'm Ling.",
294,Chien Po,"And I'm Chien-Po.
",766,And I'm Chien-Po.,
295,Mulan,"Hello, Chien-Po.
",768,"Hello, Chien-Po.",
296,Yao,"And I am Yao, King of the Rock! And there's nothing you girls can do about it.
",770,"And I am Yao, King of the Rock! And there's nothing you girls can do about it.",
297,Ling,"Oh yeah? Well, I think Ping and I can take you!
",772,"Oh yeah? Well, I think Ping and I can take you!",
298,Mulan,"I really don't want to take him anywhere.
",774,I really don't want to take him anywhere.,
299,Ling,"But, Ping! We have to fight!
",776,"But, Ping! We have to fight!",
300,Mulan,"No, we don't. We could just close our eyes, and ... swim around!
",778,"No, we don't. We could just close our eyes, and ... swim around!",
301,Ling,"C'mon! Don't' be such a ... OW! Something bit me!
",780,C'mon! Don't' be such a ... OW! Something bit me!,
302,Mushu,"What a nasty flavor.
",782,What a nasty flavor.,
303,Ling,"[sees Mushu] SNAKE!!!
While Yao, Chien Po and Ling are shrieking, Mulan whistles for Khan and sneaks away.
",784,"SNAKE!!! While Yao, Chien Po and Ling are shrieking, Mulan whistles for Khan and sneaks away.",sees Mushu
304,Ling,"[huddled on the rock with Chien Po and Yao] Some King of the Rock.
",787,Some King of the Rock.,huddled on the rock with Chien Po and Yao
305,Mulan,"Boy, that was close.
",789,"Boy, that was close.",
306,Mushu,"No, that was vile. You owe me big!
",791,"No, that was vile. You owe me big!",
307,Mulan,"I never want to see a naked man again.
A herd of naked men flash by.
",793,I never want to see a naked man again. A herd of naked men flash by.,
308,Mushu,"Don't look at me, I ain't biting no more butts.
In Chi Fu's tent
",796,"Don't look at me, I ain't biting no more butts. In Chi Fu's tent",
309,Chi Fu,"You think your troops are ready to fight? Hah! They wouldn't last a minute against the Huns!
",799,You think your troops are ready to fight? Hah! They wouldn't last a minute against the Huns!,
310,Shang,"They completed their training.
",801,They completed their training.,
311,Chi Fu,"Those boys are no more fit to be soldiers than you are to be captain. Once the general reads my report, your troops will never see battle.
",803,"Those boys are no more fit to be soldiers than you are to be captain. Once the general reads my report, your troops will never see battle.",
312,Mushu,"Oh, no, you don't! I've worked too hard to get Mulan into this war! This guy's messing with my plans!
",805,"Oh, no, you don't! I've worked too hard to get Mulan into this war! This guy's messing with my plans!",
313,Shang,"We're not finished!
",807,We're not finished!,
314,Chi Fu,"Be careful, Captain. The general may be your father, but I am the Emperor's Council. And, oh, by the way, I got that job on my own. You're dismissed.
",809,"Be careful, Captain. The general may be your father, but I am the Emperor's Council. And, oh, by the way, I got that job on my own. You're dismissed.",
315,Mulan,"[to Shang] Hey, I'll hold him, and you punch! ... Or not. For what it's worth, I think you're a great captain!
",811,"Hey, I'll hold him, and you punch! ... Or not. For what it's worth, I think you're a great captain!",to Shang
316,Mushu,"I saw that.
",813,I saw that.,
317,Mulan,"What?
",815,What?,
318,Mushu,"You like him, don't you
",817,"You like him, don't you",
319,Mulan,"No! I ...
",819,No! I ...,
320,Mushu,"Yeah, right, sure. GO TO YOUR TENT!
Smiling, Mulan walks away.
",821,"Yeah, right, sure. GO TO YOUR TENT! Smiling, Mulan walks away.",
321,Mushu,"[to Crickee] I think it's time we took this war into our own hands.
They rush into the tent as Chi Fu strolls out, dressed in a towel, a hat, and slippers.
Crickee types out a letter, like a typewriter.
",824,"I think it's time we took this war into our own hands. They rush into the tent as Chi Fu strolls out, dressed in a towel, a hat, and slippers. Crickee types out a letter, like a typewriter.",to Crickee
322,Mushu,"Okay, lemme see what you've got. [reads] From General Lee. 'Dear Son, we're waiting for the Huns at the pass. It would mean a lot of you'd come and back us up.' Hmm. That's great, except that you forgot, 'and since we're out of popourri, perhaps you wouldn't mind bringing up some!' HELLO! This is the army! Make it sound a little urgent, please. You know what I'm talking about?
Crickee hops around typing out another letter.
",828,"Okay, lemme see what you've got.  From General Lee. 'Dear Son, we're waiting for the Huns at the pass. It would mean a lot of you'd come and back us up.' Hmm. That's great, except that you forgot, 'and since we're out of popourri, perhaps you wouldn't mind bringing up some!' HELLO! This is the army! Make it sound a little urgent, please. You know what I'm talking about? Crickee hops around typing out another letter.",reads
323,Mushu,"That's better, much better! Let's go!
",831,"That's better, much better! Let's go!",
324,Mushu,"Khaney, baby. We need a ride. [Khan squirts him off, and Crickee slowly backs off.]
At the lake. Laughter
",833,"Khaney, baby. We need a ride.  At the lake. Laughter","Khan squirts him off, and Crickee slowly backs off."
325,Chi Fu,"Insubordinate ruffians. You men owe me a new pair of slippers! [More laughter] And I do not squeal like a girl! [He turns to see a straw soldier (Mushu and Crickee) riding a panda bear.] Eeeeeeek!!!
",836,Insubordinate ruffians. You men owe me a new pair of slippers!  And I do not squeal like a girl!  Eeeeeeek!!!,More laughterHe turns to see a straw soldier (Mushu and Crickee) riding a panda bear.
326,Mushu,"[In a deep voice] Urgent new from the general! [He holds out a scroll] What's the matter, you've never seen a black and white before?
",838,"Urgent new from the general!  What's the matter, you've never seen a black and white before?",In a deep voiceHe holds out a scroll
327,Chi Fu,"Who are you?
",840,Who are you?,
328,Mushu,"Excuse me? I think the question should be, who are you! We're in a war, man! There's no time for stupid questions! I should have your hat for that! Snatch it right off your head! I'm feeling gracious today, so ... carry on. [Chi Fu turns, and the panda climbs up a nearby tree.]
In the captain's tent
",842,"Excuse me? I think the question should be, who are you! We're in a war, man! There's no time for stupid questions! I should have your hat for that! Snatch it right off your head! I'm feeling gracious today, so ... carry on.  In the captain's tent","Chi Fu turns, and the panda climbs up a nearby tree."
329,Chi Fu,"Captain! Urgent news from the general! We're needed at the front!
",845,Captain! Urgent news from the general! We're needed at the front!,
330,Mushu,"Pack your bags, Crickee, we're moving out!
Begin ""A Girl Worth Fighting For.""
For a long time we've been marching off to battle.
In our thundering herd, we feel a lot like cattle.
Like the pounding beat, our aching feet aren't easy to ignore.
Hey! Think of instead, a girl worth fighting for!
Huh?
That's what I said! A girl worth fighting for!
I want her paler than the moon, with eyes that shine like stars.
My girl will marvel at my strength, adore my battle scars!
I couldn't care less what she'll wear, or what she looks like!
It all depends on what she cooks like!
Beef, pork, chicken, mmm ...
Bet the local girls thought you were quite the charmer!
And I bet the ladies love a man in armor!
You can guess what we have missed the most
Since we went off to war!
What do we want?
A girl worth fighting for!
My girl will think I have no flaws
That I'm a major find
How 'bout a girl who's got a brain, who always speaks her mind?
Nah!
My manly ways and turn of phrase and sure to thrill her!
He thinks he's such a lady-killer!
I've a girl back home who's unlike any other!
Yeah, the only girl who'd love him is his mother!
But when we come home, in victory
They'll line up at the door!
What do we want?
A girl worth fighting for!
Wish that I had
A girl worth fighting for!
A girl worth fighting--
The Chinese army stares in horror at the charred and burning remnants of a small village. They walk through it.
",847,"Pack your bags, Crickee, we're moving out! Begin ""A Girl Worth Fighting For."" For a long time we've been marching off to battle. In our thundering herd, we feel a lot like cattle. Like the pounding beat, our aching feet aren't easy to ignore. Hey! Think of instead, a girl worth fighting for! Huh? That's what I said! A girl worth fighting for! I want her paler than the moon, with eyes that shine like stars. My girl will marvel at my strength, adore my battle scars! I couldn't care less what she'll wear, or what she looks like! It all depends on what she cooks like! Beef, pork, chicken, mmm ... Bet the local girls thought you were quite the charmer! And I bet the ladies love a man in armor! You can guess what we have missed the most Since we went off to war! What do we want? A girl worth fighting for! My girl will think I have no flaws That I'm a major find How 'bout a girl who's got a brain, who always speaks her mind? Nah! My manly ways and turn of phrase and sure to thrill her! He thinks he's such a lady-killer! I've a girl back home who's unlike any other! Yeah, the only girl who'd love him is his mother! But when we come home, in victory They'll line up at the door! What do we want? A girl worth fighting for! Wish that I had A girl worth fighting for! A girl worth fighting-- The Chinese army stares in horror at the charred and burning remnants of a small village. They walk through it.",
331,Shang,"Search for survivors!
Mulan picks up a small doll
",883,Search for survivors! Mulan picks up a small doll,
332,Shang,"I don't understand. My father should've been here.
",886,I don't understand. My father should've been here.,
