,chars,lines,line_num,scene_setup,mod_lines,line_stemmed,scene_setup_stemmed
198,MRS. POTTS,"   Now, Chip, I won't have you making up such wild stories.
",473,,"   Now, Chip, I won't have you making up such wild stories. ",chip make wild stori,
199,CHIP,"         But really, momma, I saw her.
",474,,"         But really, momma, I saw her. ",realli momma saw,
200,MRS. POTTS,"   (Disgusted) Not another word.  Into the tub. (She lifts CHIP
              into the tub.  FEATHERDUSTER  enters)
",475,(Disgusted),"     Not another word.  Into the tub. (She lifts CHIP
              into the tub.  FEATHERDUSTER  enters)
",disgust not anoth word tub lift chip tub featherdust enter,disgust
201,FEATHERDUSTER,"
              A girl!  I saw a girl in the castle!
",477,,               A girl!  I saw a girl in the castle! ,girl saw girl castl,
202,CHIP,"         (poking his head out from the water) See, I told ya!
(Cut back to LUMIERE and COGSWORTH bickering)
",479,(poking his head out from the water),"           See, I told ya!
(Cut back to LUMIERE and COGSWORTH bickering)
",poke head water see told ya cut back lumier cogsworth bicker,poke head water
203,COGSWORTH,"    Irresponsible, devil-may-care, waxy eared, slack-jawed--
",481,,"    Irresponsible, devil-may-care, waxy eared, slack-jawed-- ",irrespons devil may care waxi ear slack jaw,
204,BELLE,"        Papa?
(COGSWORTH and LUMIERE turn to look at the new arrival)
",482,(COGSWORTH and LUMIERE turn to look at the new arrival),"        Papa?
 
",papa cogsworth lumier turn look new arriv,cogsworth lumier turn look new arriv
205,LUMIERE,"      Did you see that? (Running to the door and poking his head around
              the corner with COGSWORTH)  It's a girl!
",484,"(Running to the door and poking his head around
              the corner with COGSWORTH)","      Did you see that? (Running to the door and poking his head around
              the corner with COGSWORTH)  It's a girl!
",see run door poke head around corner cogsworth girl,run door poke head around corner cogsworth
206,COGSWORTH,"    I know it's a girl.
",486,,    I know it's a girl. ,know girl,
207,LUMIERE,"      Don't you see?  She's the one. The girl we have been waiting for.
              She has come to break the spell! (He chases after her.)
",487,(He chases after her.),"      Don't you see?  She's the one. The girl we have been waiting for.
              She has come to break the spell!  
",see one girl wait come break spell chase,chase
208,COGSWORTH,"    Wait a minute, wait a minute!
(BELLE advances down a narrow hallway.  COGSWORTH and LUMIERE sneak up behind
her and open the door that leads to the tower where MAURICE is being kept. The
door creaks open and BELLE hears the sound)
",489,"(BELLE advances down a narrow hallway.  COGSWORTH and LUMIERE sneak up behind
her and open the door that leads to the tower where MAURICE is being kept. The
door creaks open and BELLE hears the sound)","    Wait a minute, wait a minute!
(BELLE advances down a narrow hallway.  COGSWORTH and LUMIERE sneak up behind
her and open the door that leads to the tower where MAURICE is being kept. The
door creaks open and BELLE hears the sound)
",wait minut wait minut bell advanc narrow hallway cogsworth lumier sneak behind open door lead tower mauric kept door creak open bell hear sound,bell advanc narrow hallway cogsworth lumier sneak behind open door lead tower mauric kept door creak open bell hear sound
209,BELLE,"        Papa?  Papa? (COGSWORTH hides behind the door and LUMIERE rushes
              off.) Hello? Is someone here?  Wait!  I'm looking for my father!
              (She begins up the stairs, but doesn't realize that LUMIERE is
              watching her.)  That's funny, I'm sure there was someone...
              I-I-Is there anyone here?
(MAURICE's voice echoes from his cell)
",493,"(COGSWORTH hides behind the door and LUMIERE rushes
              off.)","        Papa?  Papa? (COGSWORTH hides behind the door and LUMIERE rushes
              off.) Hello? Is someone here?  Wait!  I'm looking for my father!
              (She begins up the stairs, but doesn't realize that LUMIERE is
              watching her.)  That's funny, I'm sure there was someone...
              I-I-Is there anyone here?
(MAURICE's voice echoes from his cell)
",papa papa cogsworth hide behind door lumier rush hello someon wait look father begin stair realiz lumier watch funni sure someon anyon mauric voic echo cell,cogsworth hide behind door lumier rush
210,MAURICE,"      Belle?
",499,,      Belle? ,bell,
211,BELLE,"        (Rushes up to the cell to find him) Oh, Papa!
",500,(Rushes up to the cell to find him),"          Oh, Papa!
",rush cell find oh papa,rush cell find
212,MAURICE,"      How did you find me?
",501,,      How did you find me? ,find,
213,BELLE,"        Oh, your hands are like ice.  We have to get you out of here.
",502,,"        Oh, your hands are like ice.  We have to get you out of here. ",oh hand like ice get,
214,MAURICE,"      Belle, I want you to leave this place.
",503,,"      Belle, I want you to leave this place. ",bell want leav place,
215,BELLE,"        Who's done this to you?
",504,,        Who's done this to you? ,done,
216,MAURICE,"      No time to explain. You must go...now!
",505,,      No time to explain. You must go...now! ,time explain must go,
217,BELLE,"        I won't leave you!
(Suddenly, BEAST grabs BELLE's shoulder and whips her around.  She drops the
torch she was carrying into a puddle and the room is dark except for one beam
of
light from a skylight.)
",506,"(Suddenly, BEAST grabs BELLE's shoulder and whips her around.  She drops the
torch she was carrying into a puddle and the room is dark except for one beam
of
light from a skylight.)","        I won't leave you!
(Suddenly, BEAST grabs BELLE's shoulder and whips her around.  She drops the
torch she was carrying into a puddle and the room is dark except for one beam
of
light from a skylight.)
",leav suddenli beast grab bell shoulder whip around drop torch carri puddl room dark except one beam light skylight,suddenli beast grab bell shoulder whip around drop torch carri puddl room dark except one beam light skylight
218,BEAST,"        What are you doing here?
",511,,        What are you doing here? ,,
219,MAURICE,"      Run, Belle!
",512,,"      Run, Belle! ",run bell,
220,BELLE,"        Who's there? Who are you?
",513,,        Who's there? Who are you? ,,
221,BEAST,"        The master of this castle.
",514,,        The master of this castle. ,master castl,
222,BELLE,"        I've come for my father.  Please let him out!  Can't you see he's
              sick?
",515,,        I've come for my father.  Please let him out!  Can't you see he's               sick? ,come father pleas let see sick,
223,BEAST,"        Then he shouldn't have trespassed here.
",517,,        Then he shouldn't have trespassed here. ,trespass,
224,BELLE,"        But he could die.  Please, I'll do anything!
",518,,"        But he could die.  Please, I'll do anything! ",could die pleas anyth,
225,BEAST,"        There's nothing you can do.  He's my prisoner.
",519,,        There's nothing you can do.  He's my prisoner. ,noth prison,
226,BELLE,"        Oh, there must be some way I can...wait!  Take me, instead!
",520,,"        Oh, there must be some way I can...wait!  Take me, instead! ",oh must way wait take instead,
227,BEAST,"        You! You would take his place?
",521,,        You! You would take his place? ,would take place,
228,MAURICE,"      Belle!  No!  You don't know what you're doing!
",522,,      Belle!  No!  You don't know what you're doing! ,bell know,
229,BELLE,"        If I did, would you let him go?
",523,,"        If I did, would you let him go? ",would let go,
230,BEAST,"        Yes, but you must promise to stay here forever.
(BELLE ponders the situation and realizes she can't see the captor)
",524,(BELLE ponders the situation and realizes she can't see the captor),"        Yes, but you must promise to stay here forever.
 
",ye must promis stay forev bell ponder situat realiz see captor,bell ponder situat realiz see captor
231,BELLE,"        Come  into the light.
(BEAST drags his legs, then his whole body into the beam of light.  BELLE
looks,
her eyes growing wider until she can stand no more and falls back to MAURICE.)
",526,"(BEAST drags his legs, then his whole body into the beam of light.  BELLE
looks,
her eyes growing wider until she can stand no more and falls back to MAURICE.)","        Come  into the light.
(BEAST drags his legs, then his whole body into the beam of light.  BELLE
looks,
her eyes growing wider until she can stand no more and falls back to MAURICE.)
",come light beast drag leg whole bodi beam light bell look eye grow wider stand fall back mauric,beast drag leg whole bodi beam light bell look eye grow wider stand fall back mauric
232,MAURICE,"      No, Belle.  I won't let you do this!
(BELLE regains her composure, then steps into the beam of light, giving her a
very virgin-ish look)
",530,"(BELLE regains her composure, then steps into the beam of light, giving her a
very virgin-ish look)","      No, Belle.  I won't let you do this!
(BELLE regains her composure, then steps into the beam of light, giving her a
very virgin-ish look)
",bell let bell regain composur step beam light give virgin ish look,bell regain composur step beam light give virgin ish look
233,BELLE,"        You have my word.
",533,,        You have my word. ,word,
234,BEAST,"        (quickly) Done!
(BEAST moves over to unlock the cell, and BELLE collapses to the floor with her
head in her hands.  We hear the door being unlocked, then MAURICE rushing over
to BELLE.)
",534,(quickly),"          Done!
(BEAST moves over to unlock the cell, and BELLE collapses to the floor with her
head in her hands.  We hear the door being unlocked, then MAURICE rushing over
to BELLE.)
",quickli done beast move unlock cell bell collaps floor head hand hear door unlock mauric rush bell,quickli
235,MAURICE,"      No, Belle.  Listen to me.  I'm old, I've lived my life--
              (BEAST grabs him and drags him downstairs)
",538,(BEAST grabs him and drags him downstairs),"      No, Belle.  Listen to me.  I'm old, I've lived my life--
               
",bell listen old live life beast grab drag downstair,beast grab drag downstair
236,BELLE,"        Wait!
",540,,        Wait! ,wait,
237,MAURICE,"      Belle!
",541,,      Belle! ,bell,
238,BELLE,"        Wait!
(Cut to ext. of castle.  BEAST drags MAURICE towards PALLENQUIN)
",542,(Cut to ext. of castle.  BEAST drags MAURICE towards PALLENQUIN),"        Wait!
 
",wait cut ext castl beast drag mauric toward pallenquin,cut ext castl beast drag mauric toward pallenquin
239,MAURICE,"      No, please spare my daughter!
",544,,"      No, please spare my daughter! ",pleas spare daughter,
240,BEAST,"        She's no longer your concern.  (BEAST throws MAURICE into the
              PALLENQUIN.) Take him to the village.
(The PALLENQUIN breaks the ivy holding it to the ground, then slinks off like a
spider with MAURICE inside)
",545,"(BEAST throws MAURICE into the
              PALLENQUIN.)","        She's no longer your concern.  (BEAST throws MAURICE into the
              PALLENQUIN.) Take him to the village.
(The PALLENQUIN breaks the ivy holding it to the ground, then slinks off like a
spider with MAURICE inside)
",longer concern beast throw mauric pallenquin take villag pallenquin break ivi hold ground slink like spider mauric insid,beast throw mauric pallenquin
241,MAURICE,"      Please, let me out, please!
(Cut to BELLE looking out cell window at the PALLENQUIN crossing the bridge
over
the moat.  She begins to cry. Cut to BEAST walking up the stairs.  LUMIERE is
still at his post.)
",549,"(Cut to BELLE looking out cell window at the PALLENQUIN crossing the bridge
over
the moat.  She begins to cry. Cut to BEAST walking up the stairs.  LUMIERE is
still at his post.)","      Please, let me out, please!
(Cut to BELLE looking out cell window at the PALLENQUIN crossing the bridge
over
the moat.  She begins to cry. Cut to BEAST walking up the stairs.  LUMIERE is
still at his post.)
",pleas let pleas cut bell look cell window pallenquin cross bridg moat begin cri cut beast walk stair lumier still post,cut bell look cell window pallenquin cross bridg moat begin cri cut beast walk stair lumier still post
242,LUMIERE,"      Master?
",554,,      Master? ,master,
243,BEAST,"        (angrily) What!
",555,(angrily),"          What!
",angrili,angrili
244,LUMIERE,"      Since the girl is going to be with us for quite some time, I was
              thinking that you might want to offer her a more comfortable
              room. (BEAST growls angrily at him.) Then again, maybe not.
(BEAST enters the cell where BELLE is still crying.)
",556,(BEAST growls angrily at him.),"      Since the girl is going to be with us for quite some time, I was
              thinking that you might want to offer her a more comfortable
              room.   Then again, maybe not.
(BEAST enters the cell where BELLE is still crying.)
",sinc girl go us quit time think might want offer comfort room beast growl angrili mayb not beast enter cell bell still cri,beast growl angrili
245,BELLE,"        You didn't even let me say good bye. I'll never see him again. I
              didn't get to say good-bye.
",560,,        You didn't even let me say good bye. I'll never see him again. I               didn't get to say good-bye. ,even let say good bye never see get say good bye,
246,BEAST,"        (feeling bad) I'll show you to your room.
",562,(feeling bad),"          I'll show you to your room.
",feel bad show room,feel bad
247,BELLE,"        (surprised) My room? (Indicating the cell) But I thought--
",563,(surprised),"          My room? (Indicating the cell) But I thought--
",surpris room indic cell thought,surpris
248,BEAST,"        You wanna, you wanna stay in the tower?
",564,,"        You wanna, you wanna stay in the tower? ",wanna wanna stay tower,
249,BELLE,"        No.
",565,,        No. ,,
250,BEAST,"        Then follow me.

(BEAST leads BELLE to her room.  As they proceed, BELLE begins to lag behind.
She looks at the hideous sculptures on the walls and the light casting shadows
on them.  Frightened, she gasps and runs to catch up with BEAST, who is
carrying
LUMIERE as a light source. BEAST looks back at BELLE, and sees a tear form at
the corner of her eye.)

",566,"(BEAST leads BELLE to her room.  As they proceed, BELLE begins to lag behind.
She looks at the hideous sculptures on the walls and the light casting shadows
on them.  Frightened, she gasps and runs to catch up with BEAST, who is
carrying
LUMIERE as a light source. BEAST looks back at BELLE, and sees a tear form at
the corner of her eye.)","        Then follow me.

(BEAST leads BELLE to her room.  As they proceed, BELLE begins to lag behind.
She looks at the hideous sculptures on the walls and the light casting shadows
on them.  Frightened, she gasps and runs to catch up with BEAST, who is
carrying
LUMIERE as a light source. BEAST looks back at BELLE, and sees a tear form at
the corner of her eye.)

",follow beast lead bell room proceed bell begin lag behind look hideou sculptur wall light cast shadow frighten gasp run catch beast carri lumier light sourc beast look back bell see tear form corner eye,beast lead bell room proceed bell begin lag behind look hideou sculptur wall light cast shadow frighten gasp run catch beast carri lumier light sourc beast look back bell see tear form corner eye
251,LUMIERE,"      Say something to her.
",575,,      Say something to her. ,say someth,
252,BEAST,"        Hmm?  Oh.  (To BELLE)  I...um...hope you like it here.  (He looks
              at LUMIERE for approval.  He motions BEAST to continue.)  The
              castle is your home now, so you can go anywhere you wish, except
              the West Wing.
",576,(To BELLE),"        Hmm?  Oh.     I...um...hope you like it here.  (He looks
              at LUMIERE for approval.  He motions BEAST to continue.)  The
              castle is your home now, so you can go anywhere you wish, except
              the West Wing.
",hmm oh bell um hope like look lumier approv motion beast continu castl home go anywher wish except west wing,bell
253,BELLE,"        (looking intrigued) What's in the West Wing?
",580,(looking intrigued),"          What's in the West Wing?
",look intrigu west wing,look intrigu
254,BEAST,"        (stopping angrily) It's forbidden!

(BEAST continues, and BELLE reluctantly follows. Cut to int. of BELLE's room,
dark.  The door opens and light spills in.)

",581,(stopping angrily),"          It's forbidden!

(BEAST continues, and BELLE reluctantly follows. Cut to int. of BELLE's room,
dark.  The door opens and light spills in.)

",stop angrili forbidden beast continu bell reluctantli follow cut int bell room dark door open light spill,stop angrili
255,BEAST,"        (Tenderly) Now, if there's anything you need, my servants will
              attend you.
",586,(Tenderly),"          Now, if there's anything you need, my servants will
              attend you.
",tenderli anyth need servant attend,tenderli
256,LUMIERE,"      (whispering in his ear) Dinner--invite her to dinner.
",588,(whispering in his ear),"        Dinner--invite her to dinner.
",whisper ear dinner invit dinner,whisper ear
257,BEAST,"        (Growing angry) You...will join me for dinner.  That's not a
              request!
(BEAST leaves, slamming the door behind him.  BELLE, terrified, runs over to
the
bed and flings herself onto it, finally breaking down and crying.  Fade to
tavern in the town.)

",589,(Growing angry),"          You...will join me for dinner.  That's not a
              request!
(BEAST leaves, slamming the door behind him.  BELLE, terrified, runs over to
the
bed and flings herself onto it, finally breaking down and crying.  Fade to
tavern in the town.)

",grow angri join dinner not request beast leav slam door behind bell terrifi run bed fling onto final break cri fade tavern town,grow angri
258,GASTON,"       Who does she think she is?  That girl has tangled with the wrong
              man.  No one says 'no' to Gaston!
",596,,       Who does she think she is?  That girl has tangled with the wrong               man.  No one says 'no' to Gaston! ,think girl tangl wrong man one say gaston,
259,LEFOU,"        Darn right!
",598,,        Darn right! ,darn right,
260,GASTON,"       Dismissed.  Rejected.  Publicly humiliated.  Why, it's more than
I
              can bear. (turns chair away)
",599,(turns chair away),"       Dismissed.  Rejected.  Publicly humiliated.  Why, it's more than
I
              can bear.  
",dismiss reject publicli humili bear turn chair away,turn chair away
261,LEFOU,"        (Runs in front of him) More beer?
",602,(Runs in front of him),"          More beer?
",run front beer,run front
262,GASTON,"       (Turns chair away again) What for?  Nothing helps.  I'm
disgraced.
",603,(Turns chair away again),"         What for?  Nothing helps.  I'm
disgraced.
",turn chair away noth help disgrac,turn chair away
263,LEFOU,"        Who, you?  Never.  Gaston, you've got to pull yourself together.

              Gosh it disturbs me to see you, Gaston
              Looking so down in the dumps
              Every guy here'd love to be you, Gaston (cheering from the
              gallery)
              Even when taking your lumps

              There's no man in town as admired as you
              You're everyone's favorite guy
              Everyone's awed and inspired by you (LEFOU turns chair back to
              forward)
              And it's not very hard to see why!

              No one's slick as Gaston, no one's quick as Gaston
              No one's next as incredibly thick as Gaston
              For there's no man in town half as manly
              Perfect, a pure paragon!
              You can ask any Tom, Dick, or Stanley
              And they'll tell you who's team they'd prefer to be on!
(LEFOU has pulled a man's belt off, whose pants fall to the ground.  LEFOU
jumps
up and wraps the belt around GASTON's neck, who flexes and breaks it off. LEFOU
continues to dance around. OLD CRONIES pick him up and swing him around.)

",605,"(cheering from the
              gallery)","        Who, you?  Never.  Gaston, you've got to pull yourself together.

              Gosh it disturbs me to see you, Gaston
              Looking so down in the dumps
              Every guy here'd love to be you, Gaston (cheering from the
              gallery)
              Even when taking your lumps

              There's no man in town as admired as you
              You're everyone's favorite guy
              Everyone's awed and inspired by you (LEFOU turns chair back to
              forward)
              And it's not very hard to see why!

              No one's slick as Gaston, no one's quick as Gaston
              No one's next as incredibly thick as Gaston
              For there's no man in town half as manly
              Perfect, a pure paragon!
              You can ask any Tom, Dick, or Stanley
              And they'll tell you who's team they'd prefer to be on!
(LEFOU has pulled a man's belt off, whose pants fall to the ground.  LEFOU
jumps
up and wraps the belt around GASTON's neck, who flexes and breaks it off. LEFOU
continues to dance around. OLD CRONIES pick him up and swing him around.)

",never gaston got pull togeth gosh disturb see gaston look dump everi guy love gaston cheer galleri even take lump man town admir everyon favorit guy everyon awe inspir lefou turn chair back forward not hard see one slick gaston one quick gaston one next incred thick gaston man town half manli perfect pure paragon ask tom dick stanley tell team prefer lefou pull man belt whose pant fall ground lefou jump wrap belt around gaston neck flex break lefou continu danc around old croni pick swing around,cheer galleri
264,OLD CRONIES,"  No one's been like Gaston, a king-pin like Gaston
",630,,"  No one's been like Gaston, a king-pin like Gaston ",one like gaston king pin like gaston,
265,LEFOU,"        No one's got a swell cleft in his chin like Gaston
",631,,        No one's got a swell cleft in his chin like Gaston ,one got swell cleft chin like gaston,
266,GASTON,"       As a specimen, yes, I'm intimidating!
",632,,"       As a specimen, yes, I'm intimidating! ",specimen ye intimid,
267,OLD CRONIES,"  My, what a guy that Gaston!
(OLD CRONIES swing LEFOU back and forth into the camera.  LEFOU tickles
GASTON's
chin, who stands with pride)

",633,"(OLD CRONIES swing LEFOU back and forth into the camera.  LEFOU tickles
GASTON's
chin, who stands with pride)","  My, what a guy that Gaston!
(OLD CRONIES swing LEFOU back and forth into the camera.  LEFOU tickles
GASTON's
chin, who stands with pride)

",guy gaston old croni swing lefou back forth camera lefou tickl gaston chin stand pride,old croni swing lefou back forth camera lefou tickl gaston chin stand pride
268,OLD CRONIES,"  Give five hurrahs, give twelve hip-hips
",638,,"  Give five hurrahs, give twelve hip-hips ",give five hurrah give twelv hip hip,
269,LEFOU,"        Gaston is the best and the rest is all drips!
(LEFOU swings up his arm in dance and throws a mug of beer in GASTON's face,
who
socks LEFOU in the face)

",639,"(LEFOU swings up his arm in dance and throws a mug of beer in GASTON's face,
who
socks LEFOU in the face)","        Gaston is the best and the rest is all drips!
(LEFOU swings up his arm in dance and throws a mug of beer in GASTON's face,
who
socks LEFOU in the face)

",gaston best rest drip lefou swing arm danc throw mug beer gaston face sock lefou face,lefou swing arm danc throw mug beer gaston face sock lefou face
270,ALL,"          No one fights like Gaston, no one bites like Gaston
",644,,"          No one fights like Gaston, no one bites like Gaston ",one fight like gaston one bite like gaston,
271,WRESTLER,"     In a wrestling match, nobody bites like Gaston
",645,,"     In a wrestling match, nobody bites like Gaston ",wrestl match nobodi bite like gaston,
272,BIMBETTES,"    For there's no one as burly and brawny
",646,,    For there's no one as burly and brawny ,one burli brawni,
273,GASTON,"       As you see I've got biceps to spare
",647,,       As you see I've got biceps to spare ,see got bicep spare,
274,LEFOU,"        Not a bit of him scraggly or scrawny
",648,,        Not a bit of him scraggly or scrawny ,not bit scraggli scrawni,
275,GASTON,"       That's right! And every last bit of me's covered with hair!
(GASTON fights with the men, then lifts a bench with the BIMBETTES on it.  He
drops the bench on LEFOU, then turns to the camera and reveals his hairy
chest.)

",649,"(GASTON fights with the men, then lifts a bench with the BIMBETTES on it.  He
drops the bench on LEFOU, then turns to the camera and reveals his hairy
chest.)","       That's right! And every last bit of me's covered with hair!
(GASTON fights with the men, then lifts a bench with the BIMBETTES on it.  He
drops the bench on LEFOU, then turns to the camera and reveals his hairy
chest.)

",right everi last bit cover hair gaston fight men lift bench bimbett drop bench lefou turn camera reveal hairi chest,gaston fight men lift bench bimbett drop bench lefou turn camera reveal hairi chest
276,OLD CRONIES,"  No one hits like Gaston, matches wits like Gaston
",654,,"  No one hits like Gaston, matches wits like Gaston ",one hit like gaston match wit like gaston,
277,LEFOU,"        In a spitting match, nobody spits like Gaston!
",655,,"        In a spitting match, nobody spits like Gaston! ",spit match nobodi spit like gaston,
278,GASTON,"       I'm especially good at expectorating! Ptooey!
",656,,       I'm especially good at expectorating! Ptooey! ,especi good expector ptooey,
279,ALL,"          Ten points for Gaston!
(GASTON plays a chess game with a man, then hits the board, sending it and
pieces all over.  He takes a bite of leather from the belt once wrapped around
his neck, chews it and spits it into a spittoon, which falls and gets stuck on
the head of LEFOU.)
",657,"(GASTON plays a chess game with a man, then hits the board, sending it and
pieces all over.  He takes a bite of leather from the belt once wrapped around
his neck, chews it and spits it into a spittoon, which falls and gets stuck on
the head of LEFOU.)","          Ten points for Gaston!
(GASTON plays a chess game with a man, then hits the board, sending it and
pieces all over.  He takes a bite of leather from the belt once wrapped around
his neck, chews it and spits it into a spittoon, which falls and gets stuck on
the head of LEFOU.)
",ten point gaston gaston play chess game man hit board send piec take bite leather belt wrap around neck chew spit spittoon fall get stuck head lefou,gaston play chess game man hit board send piec take bite leather belt wrap around neck chew spit spittoon fall get stuck head lefou
280,GASTON,"       When I was a lad I ate four dozen eggs
              Every morning to help me get large!
              And now that I'm grown, I eat five dozen eggs
              So I'm roughly the size of a barge!
(GASTON juggles a number of eggs, then swallows them whole.  LEFOU attempts the
trick, and is hit in the face by three eggs.)
",662,"(GASTON juggles a number of eggs, then swallows them whole.  LEFOU attempts the
trick, and is hit in the face by three eggs.)","       When I was a lad I ate four dozen eggs
              Every morning to help me get large!
              And now that I'm grown, I eat five dozen eggs
              So I'm roughly the size of a barge!
(GASTON juggles a number of eggs, then swallows them whole.  LEFOU attempts the
trick, and is hit in the face by three eggs.)
",lad ate four dozen egg everi morn help get larg grown eat five dozen egg roughli size barg gaston juggl number egg swallow whole lefou attempt trick hit face three egg,gaston juggl number egg swallow whole lefou attempt trick hit face three egg
281,ALL,"          No one shoots like Gaston, makes those beauts like Gaston
",668,,"          No one shoots like Gaston, makes those beauts like Gaston ",one shoot like gaston make beaut like gaston,
282,LEFOU,"        Then goes tromping around wearing boots like Gaston
",669,,        Then goes tromping around wearing boots like Gaston ,goe tromp around wear boot like gaston,
283,GASTON,"       I use antlers in all of my decorating!
(GASTON takes three shots at a beer barrel, which begins leaking into the mugs
of onlookers.  He returns stomping to his chair, where we see the fireplace
surrounded by the heads of the animals he has killed. The mystery cut of music
is here! Cut to ending of ""Gaston Reprise"")

",670,"(GASTON takes three shots at a beer barrel, which begins leaking into the mugs
of onlookers.  He returns stomping to his chair, where we see the fireplace
surrounded by the heads of the animals he has killed. The mystery cut of music
is here! Cut to ending of ""Gaston Reprise"")","       I use antlers in all of my decorating!
(GASTON takes three shots at a beer barrel, which begins leaking into the mugs
of onlookers.  He returns stomping to his chair, where we see the fireplace
surrounded by the heads of the animals he has killed. The mystery cut of music
is here! Cut to ending of ""Gaston Reprise"")

",use antler decor gaston take three shot beer barrel begin leak mug onlook return stomp chair see fireplac surround head anim kill mysteri cut music cut end gaston repris,gaston take three shot beer barrel begin leak mug onlook return stomp chair see fireplac surround head anim kill mysteri cut music cut end gaston repris
284,ALL,"          My what a guy! Gaston!!!!!!!
(The OLD CRONIES have picked up the chair and carry GASTON around in it.  LEFOU
tries to flee, but they toss the chair into its normal place, and LEFOU is
pinned underneath.  MAURICE bursts in frantically)

",676,"(The OLD CRONIES have picked up the chair and carry GASTON around in it.  LEFOU
tries to flee, but they toss the chair into its normal place, and LEFOU is
pinned underneath.  MAURICE bursts in frantically)","          My what a guy! Gaston!!!!!!!
(The OLD CRONIES have picked up the chair and carry GASTON around in it.  LEFOU
tries to flee, but they toss the chair into its normal place, and LEFOU is
pinned underneath.  MAURICE bursts in frantically)

",guy gaston old croni pick chair carri gaston around lefou tri flee toss chair normal place lefou pin underneath mauric burst frantic,old croni pick chair carri gaston around lefou tri flee toss chair normal place lefou pin underneath mauric burst frantic
285,MAURICE,"      Help! Someone help me!
",681,,      Help! Someone help me! ,help someon help,
286,OLD MAN,"      Maurice?
",682,,      Maurice? ,mauric,
287,MAURICE,"      Please!  Please, I need your help! He's got her.  He's got her
              locked in the dungeon.
",683,,"      Please!  Please, I need your help! He's got her.  He's got her               locked in the dungeon. ",pleas pleas need help got got lock dungeon,
288,LEFOU,"        Who?
",685,,        Who? ,,
289,MAURICE,"      Belle. We must go.  Not a minute to lose!
",686,,      Belle. We must go.  Not a minute to lose! ,bell must go not minut lose,
290,GASTON,"       Whoa!  Slow down, Maurice.  Who's got Belle locked in a dungeon?
",687,,"       Whoa!  Slow down, Maurice.  Who's got Belle locked in a dungeon? ",whoa slow mauric got bell lock dungeon,
291,MAURICE,"      A beast! A horrible, monstrous beast!
(MAURICE has gone from person to person, pleading his case, until he is thrown
at the feet of GASTON. A moment of silence, then the OLD CRONIES begin to laugh
and mock him.)
",688,"(MAURICE has gone from person to person, pleading his case, until he is thrown
at the feet of GASTON. A moment of silence, then the OLD CRONIES begin to laugh
and mock him.)","      A beast! A horrible, monstrous beast!
(MAURICE has gone from person to person, pleading his case, until he is thrown
at the feet of GASTON. A moment of silence, then the OLD CRONIES begin to laugh
and mock him.)
",beast horribl monstrou beast mauric gone person person plead case thrown feet gaston moment silenc old croni begin laugh mock,mauric gone person person plead case thrown feet gaston moment silenc old croni begin laugh mock
292,CRONY 1,"      Is it a big beast?
",692,,      Is it a big beast? ,big beast,
293,MAURICE,"      Huge!
",693,,      Huge! ,huge,
294,CRONY 2,"      With a long, ugly snout?
",694,,"      With a long, ugly snout? ",long ugli snout,
295,MAURICE,"      Hideously ugly!
",695,,      Hideously ugly! ,hideous ugli,
296,CRONY 3,"      And sharp, cruel fangs?
",696,,"      And sharp, cruel fangs? ",sharp cruel fang,
297,MAURICE,"      Yes, yes.  Will you help me?
",697,,"      Yes, yes.  Will you help me? ",ye ye help,
298,GASTON,"       All right, old man.  We'll help you out.
",698,,"       All right, old man.  We'll help you out. ",right old man help,
299,MAURICE,"      You will? Oh thank you, thank you!

(The OLD CRONIES pick up MAURICE and help him out by throwing him through the
door.)

",699,"(The OLD CRONIES pick up MAURICE and help him out by throwing him through the
door.)","      You will? Oh thank you, thank you!

(The OLD CRONIES pick up MAURICE and help him out by throwing him through the
door.)

",oh thank thank old croni pick mauric help throw door,old croni pick mauric help throw door
300,CRONY 1,"      Crazy old Maurice.  He's always good for a laugh!
",704,,      Crazy old Maurice.  He's always good for a laugh! ,crazi old mauric alway good laugh,
301,GASTON,"       (Very pensive)  Crazy old Maurice, hmm?  Crazy old Maurice.
Hmmm?
              Lefou, I'm afraid I've been thinking.
(LEFOU is still under the chair.)
",705,(Very pensive),"          Crazy old Maurice, hmm?  Crazy old Maurice.
Hmmm?
              Lefou, I'm afraid I've been thinking.
(LEFOU is still under the chair.)
",pensiv crazi old mauric hmm crazi old mauric hmmm lefou afraid think lefou still chair,pensiv
302,LEFOU,"        A dangerous pastime--
",709,,        A dangerous pastime-- ,danger pastim,
303,GASTON,"       (finishing line) I know,
              But that wacky old coot is Belle's father
              And his sanity's only so-so

              Now the wheels in my head have been turning
              Since I looked at that loony old man
              See I promised myself I'd be married to Belle,
              And right now I'm evolving a plan!
(GASTON picks LEFOU out from under the chair and holds his head close, and
whispers)
",710,(finishing line),"         I know,
              But that wacky old coot is Belle's father
              And his sanity's only so-so

              Now the wheels in my head have been turning
              Since I looked at that loony old man
              See I promised myself I'd be married to Belle,
              And right now I'm evolving a plan!
(GASTON picks LEFOU out from under the chair and holds his head close, and
whispers)
",finish line know wacki old coot bell father saniti wheel head turn sinc look looni old man see promis marri bell right evolv plan gaston pick lefou chair hold head close whisper,finish line
304,GASTON,"       If I...(whisper)
",720,(whisper),"       If I... 
",whisper,whisper
305,LEFOU,"        Yes?
",721,,        Yes? ,ye,
